Name	Family	FamilyNoForge	Group	Height	Width	Assigned Family	Assigned Group	Assigned Group Number	Friendly Name	Override Image	Description
BIO_AsPlgVac	BIO	null	null	6	1	BIO	Vaccine	5	Assimilation Plague Vaccine		An antidote to the Assimilation Plague Virus. Makes your race immune to the effects of the Assimilation Plague Bio-Weapon.
BIO_UniAnti	BIO	null	null	7	3	BIO	Vaccine	5	Universal Antigen		A universal Vaccine for all bio-weapons rendering your race immune to them.
BIO_ConNan	BIO	null	null	9	1	BIO	Vaccine	5	Counter Nanites		"Nanobots designed to “counter attack” enemy nanobot incursions and repair the damage made by them. Counter nanites ""cure"" NanoVirus outbreaks as well as reducing the damage taken from ships hit by nano-missiles."
BIO_ROOT	BIO	BIO	null	0	1	BIO			Biological	TechTree/bio-tree.tga	Biological
CCC_FTLEcon	CCC	null	null	4	1	CCC	Commerce	1	FTL Economics		"The establishment of systems using Faster Than Light communication and travel to facilitate efficient trade systems between friendly worlds. This technology allow an empire the ability to create trade routes and the star-freighters to service them. Combined with fusion, this will allow us to build police ships to protect our sectors and maintain morale."
CCC_ComRaid	CCC	null	null	7	1	CCC	Commerce	1	Commerce Raiding		"A system of tactics, communication, and support systems capable of keeping small fleets in action and undetected for large periods of time while they patrol enemy trade routes in order to intercept, destroy or capture Merchant shipping. "
CCC_FTLBrdB	CCC	null	null	2	1	CCC	Subspace	2	FTL Broadband		Faster-Than-Light Broadband allows you to observe the combat of allied players.
CCC_SpyBm	CCC	null	JAMMING	3	2	CCC	Subspace	2	Sub-Space Spy Beam		Sub-space Spy Beams allow you to observe enemy combat in nearby star systems.
CCC_SpJam	CCC	null	null	4	3	CCC	Subspace	2	Sub-Space Jammers		Sub-space jamming will prevent enemy empires from observing your combats.
CCC_NdTrkHum	CCC	null	null	5	2	CCC	Subspace	2	Node Tracking: Human		A system for tracking human ships traveling in node space and deriving their origins and destinations via drive radiation and decoded transmissions.
CCC_NdTrkZul	CCC	null	null	5	1	CCC	Subspace	2	Node Tracking: Zuul		A system for tracking Zuul ships traveling in node space and deriving their origins and destinations via drive radiation and decoded transmissions. 
CCC_FTLCom	CCC	null	null	1	1	CCC	Command	3	FTL Communications		The basic level of communicating and issuing orders to planets and ships.
CCC_BtlCmp	CCC	null	null	2	1	CCC	Command	3	Battle Computers		Computer systems designed specifically to enhance command and control of squadron-sized groups of ships. Increases number of ships that can be controlled in combat.
CCC_DatSyn	CCC	null	null	4	1	CCC	Command	3	Data Synergy		Full sensor and battle computer integration that allows for even larger fleets to be controlled effectively by cruiser class command ships.
CCC_ArmCom	CCC	null	null	9	1	CCC	Command	3	Armada Command Systems		The ultimate advancement in command and control systems designed for Dreadnought class ships.
CCC_FCCom	CCC	null	null	11	1	CCC	Command	3	Flag Central Command		The ultimate advancement in command and control systems.
CCC_CmbtAlg	CCC	null	null	8	1	CCC	CNC	4	Combat Algorithms		A breakthrough in predictive systems that allows for the operation of more ships in a fleet.
CCC_HoloTac	CCC	null	null	10	1	CCC	CNC	4	Holographic Tactics		An advancement in command and control technologies that allows commanders to view the entire combat at once in a specially designed HoloTank. This gives them the ability to control more ships.
CCC_SnsJam	CCC	null	JAMMING	3	1	CCC	Sensors	5	Sensor Jammer		Broadcast systems designed to fill enemy sensor channels with static and blocking their ability to gather information both tactically and at long strategic range.
CCC_QntChaf	CCC	null	JAMMING	6	1	CCC	Sensors	5	Quantum Chaff		A system of using quantum waveforms to imitate the sensor signal of an entire ship to use as decoys. A ship fitted with this technology may create false images on enemy sensor modules as well as attracting and detonating enemy tracking ordinance.
CCC_HypCom	CCC	null	null	2	1	CCC	Sensors	6	Hyper-Link Communications		Enables communication with ships traveling at warp and allows you to send them new movement orders mid-transit.
CCC_AdvSens	CCC	null	null	4	1	CCC	Sensors	6	Advanced Sensors		"Using advancements in FTL communications, Advanced Sensors use Tachyon particle waves to gather information at very long distances as well as sensing the disturbances caused by cloaked vessels."
CCC_DatCor	CCC	null	null	6	2	CCC	Sensors	6	Data Correlation		"Using advancements in FTL communications, Data Correlation allows for real time updating of a central database of enemy ship performance in combat. This creates a report for each opposing empire listing current ships known designations and observed weapon load-outs."
CCC_TunSens	CCC	null	null	7	1	CCC	Sensors	6	Tunneling Sensors		"Using sensors deliberately tuned to the deep quantum tunneling of reactor particle radiation, this technology provides very large sensor arrays like those found aboard Sensor Stations and Dreadnought Advanced EW Sections a chance to detect cloaked vessels at interstellar range."
CCC_ScanSats	CCC	null	null	8	1	CCC	Sensors	6	Scanner Satellites		"Adaptations of deep scan technology allows for smaller, short range variants designed to provide limited tactical scan capability versus cloaked targets entering planetary bombardment range."
CCC_IntSens	CCC	null	null	3	1	CCC	AdvSensors	7	Integrated Sensors		An advanced sensor system that integrates sensor data from all ships in the fleet in real time and makes that overall data available to command ships.
CCC_AdvCnC	CCC	null	null	6	1	CCC	AdvSensors	7	Advanced Command and Control		Allows you to select ships and give them orders from within the tactical sensor screen.
CCC_ROOT	CCC	CCC	null	0	1	CCC			C3	TechTree/CnC-tree.tga	C3
IND_PredGun	DRN	DRN	null	3	1	DRN	Computers	1	Predictive Gunnery		This simple AI targeting system will allow ships equipped with this technology to fire much more accurately.
IND_CyberInt	DRN	DRN	null	1	1	DRN	AI	2	Cybernetic Interface		A mind machine interface that allows a single being to control fleets of machines. Allows ships to be built more 5% more efficiently and increases the industrial output of all worlds by 20%.
IND_ExpSys	DRN	DRN	null	3	1	DRN	AI	2	Expert Systems		Advanced Software that allows for construction robots to function with a minimum of intelligent supervision. Allows ships to be built 10% more efficiently and increases the industrial output of all worlds by 15%.
CCC_AI	DRN	DRN	null	7	2	DRN	AI	2	Artificial Intelligence		The development of truly self-aware computers advances scientific research like never before. 50% increases in researching efficiency.
CCC_AIAdmin	DRN	DRN	null	8	3	DRN	AI	2	AI Administration		The instillation of AI intelligences into the bureaucratic system resulting in a large increase in revenues due to streamlining the economy. Increases financial output of all worlds by 50%.
CCC_AIFac	DRN	DRN	null	8	2	DRN	AI	2	AI Factories		The instillation of AI intelligences into the manufacturing system resulting in the dramatic increase in industrial output. Increases industrial output of all worlds by 50%
CCC_AIFrCon	DRN	DRN	null	8	1	DRN	AI	2	AI Fire Control		The instillation of AI intelligences into combat vessels to handle targeting and power allocation resulting in higher speed and maneuvering abilities
CCC_AIVrus	DRN	DRN	null	9	2	DRN	AI	2	AI Virus		This digital Virus gives the player the ability to purge his civilization of AI influence and negate the effects of the AI Rebellion.
CCC_AISlv	DRN	DRN	null	10	2	DRN	AI	2	AI Slaves		This programming development allows AI to be rendered loyal slaves and reinstates AI bonuses after AI Virus or Rebellion has been triggered.
DRN_AdvRob	DRN	null	null	2	2	DRN	Drones	3	Advanced Robotics		This technology allows for autonomous AI driven robots to perform simple construction tasks in zero-G conditions and results in a 5% boost to ship construction efficiency.
DRN_Cmbt	DRN	null	null	3	2	DRN	Drones	3	Combat Drones		Construction drones taken to the next level have become autonomous combat vessels able to engage and harass targets far away from their command ship.
DRN_Auto	DRN	null	null	4	1	DRN	Drones	3	Autonomous Drones		A set of AI routines that allow a drone to function without control or user input for many years at a time. The Morrigi use this technology to create ships that can set colony and asteroid traps. The vessel is consumed in the construction of the trap system.
DRN_Sats	DRN	null	null	4	3	DRN	Drones	3	Drone Satellites		Engineering upgrades to standard defense satellite tech allows for the launching and re-arming of Drones from medium and large specialized platforms.
DRN_Squad	DRN	null	null	4	2	DRN	Drones	3	Drone Squadrons		The advancement in both AI and support technologies that allow a single vessels to command and maintain a large number of combat drones.
DRN_AdvFrm	DRN	null	null	5	2	DRN	Drones	3	Advanced Drone Frames		"This technology allows for the creation of more robust drone frames, power systems and control surfaces, which results in the ability to support larger weapon loadouts and more robust attack systems. This gives an Empire the ability to build Heavy Drones, Advanced Assault Shuttles, and the Cruiser Assault Shuttle section."
DRN_WingMan	DRN	null	null	5	1	DRN	Drones	3	Drone Wing Management		The advancement in both AI and support technologies that allow a single vessels to command and maintain a very large number of combat drones.
DRN_BtlRdrs	DRN	null	null	6	1	DRN	Drones	3	Battle Riders	TechTree/Battle_Riders.tga	Advancements in dreadnought engineering and heavy auxiliary ships have allowed Tark engineers to recreate a First Empire STL Hunter cruiser design and the corresponding Dreadnought Carrier for it.
DRN_COL	DRN	null	null	4	2	DRN	COL	4	COL		"This Complex Ordinance Launcher, an advancement in drone engineering and propagation technology, allows for the grouping of small ordinance into larger, more durable packages that can be fired deep into enemy territory before dispersal."
DRN_CrakCOL	DRN	null	null	5	1	DRN	COL	4	Cracker COL		This COL uses Mine technology to create a COL round that bursts into a small minefield at the target point.
DRN_CryCOL	DRN	null	null	5	3	DRN	COL	4	CryBaby COL		This COL is based on Wild Weasel Technology to create a COL round that will attract any guided ordinance in the area around it.
DRN_TPCOL	DRN	null	null	5	2	DRN	COL	4	TarPit COL		This COL uses grav technology to create a COL round that creates a large gravity field at the target point for a few moments.
DRN_ROOT	DRN	DRN	null	0	1	DRN			Drone	TechTree/drone_tree.tga	Drone
DRV_Node	DRV	null	null	1	2	DRV	Human	1	Node Drive		"Using Super-string theory, the Node drive allows a ship to access a gravitational string nexus and travel faster than light to another star.  This travel is faster than light but is restricted to the natural string connections between gravity nodes and these may or may not be close by in terms of the regular fabric of space-time."
DRV_NodFoc	DRV	null	null	4	2	DRV	Human	1	Node Focusing		A refinement of the node ring technology that allows more efficient nodeline access resulting in higher speed jumps.
DRV_NodPath	DRV	null	null	8	2	DRV	Human	1	Sub-Space Pathing		The ultimate refinement in Node drive technology allowing for longer range and faster travel times.
WEP_NdMsl	WAR	WAR	null	10	1	DRV	Human	1	Node Missile		A smart missile using advanced node drive technology that allows them to travel to and strike another star system on their own.
DRV_TpGate	DRV	null	null	1	1	DRV	Hiver	2	Teleport Gate		The technology Hivers use to teleport their ships instantaneously from system to system. Allows instant strategic map movement for Hiver ships between star systems that both have gates.
DRV_GatAmp	DRV	null	null	4	1	DRV	Hiver	2	Gate Amplifiers		A set of energy amplifiers that increase the number of ships the Hiver gate network can transport at any given time. Results in a gate capacity increase of 3 for every gate.
DRV_FarCast	DRV	null	null	8	1	DRV	Hiver	2	FarCasters		This advancement in gate technology allows a Hiver gate to transport a Hiver fleet up to ten light-years WITHOUT a receiver gate. There are some issues with accuracy as the fleet will arrive on target + or – 2 light-years.
DRV_Hyper	DRV	null	null	1	1	DRV	Tarka	3	Hyperdrive		The ability to create a field of warped space-time that allows a ship to travel faster than the speed of light on any course.
DRV_HyprFld	DRV	null	null	4	1	DRV	Tarka	3	Shaped Hyper-Fields		This refinement in hyperdrive fields allows for faster FTL travel and a small increase in stellar range.
DRV_Warp	DRV	null	null	8	1	DRV	Tarka	3	WarpDrive		"The ultimate expression of hyper-field technology, the Warp drive uses a hyper-field to warp space-time for maneuvering as well as FTL travel. This is far more efficient for drive space though it is vulnerable to damage."
DRV_StrWrp	DRV	null	null	1	1	DRV	Liir	4	StutterWarp		"A mode of travel that creates movement by tiny teleports millions of times per second.  It has poor maneuvering ability, especially near the gravity well of star systems, but has the advantage of being both an FTL and main drive unit at the same time."
DRV_ImpStWrp	DRV	null	null	4	1	DRV	Liir	4	Improved StutterWarp		A refinement of stutterwarp technology that allows for more efficient FTL travel and higher speeds near gravity wells.
DRV_Flicker	DRV	null	null	8	1	DRV	Liir	4	FlickerDrive		"The ultimate refinement of stutterwarp tech results in a drive that actually ports the ship so fast and precisely, it has a chance to slip between enemy shots while moving"
DRV_McrFlkr	DRV	null	null	10	1	DRV	Liir	4	Micro-FlickerDrive		This miniature flicker drive can be fitted to missiles allowing them the same chance of weapons fire to pass right through them.
DRV_Rip	DRV	null	null	1	1	DRV	Zuul	5	Rip Drive		This FTL technology allows specialized Ripper “tunneling ships” to literally tear open a hole between “normal” and node space. This lets the Rippers create their own node line network at will. The only drawback to artificial node lines is that they are unstable and will collapse over time and through extended disruption by ships’ mass. A node line that collapses will destroy any ship in transit down it. 
DRV_Rend	DRV	null	null	4	1	DRV	Zuul	5	Rend Drive		"A more powerful version of the Zuul Rip Drive, Rending drives tear open space more efficiently and create a more stable node line but require more power and the use of a larger tunneler ship."
DRV_Rad	DRV	null	null	8	1	DRV	Zuul	5	Radiant Drive		Radiant drives use multiple foci to slice open space very efficiently and create a relatively stable node line. The power required is massive and requires a very large class of tunneler ship.
DRV_VdCtr	DRV	null	null	1	1	DRV	Morrigi	6	Void Cutter Drive		This FTL technology of the Morrigi race pulls their ships into FTL channels using focused gravity to infinitely curve space-time. This allows them to accelerate and maneuver sub-light as well without using vented reactor plasma. 
DRV_VdCrv	DRV	null	null	4	1	DRV	Morrigi	6	Void Carver Drive		This refinement of the Cutter Drive allows for greater range and speed.
DRV_VdMstr	DRV	null	null	8	1	DRV	Morrigi	6	Void Mastery Drive		The ultimate refinement of the Cutter Drive allows for great range and speed.
DRV_GrvSyn	DRV	null	null	10	1	DRV	Morrigi	6	Grav Synergy		This technology effectively doubles the number of Morrigi ships that count towards the flock efficiency bonus.
DRV_ROOT	DRV	DRV	null	0	1	DRV			Star Drives	TechTree/stardrive-tree.tga	Star Drives
WEP_PolPlsm	NRG	NRG	null	4	1	EWP	Plasmatics	1	Polarized Plasmatics		"This focusing technology allows for the creation of weaponized plasma forms, which are polarized to “spin” along a horizontal axis. The result plasma focuses its thermal release along a very narrow plane upon contact with the target and achieves a “slicing” effect that defeats ship armor. This small-barreled weapon has been nicknamed the “War Quoit” by human ship crews."
WEP_PolFus	NRG	NRG	null	8	1	EWP	Plasmatics	1	Chakkar		The Chakkar cannon is the advancement of polarized plasmatics into the fusion era resulting in longer range and heavier hitting power while still retaining the ability to cut through armor plating as if it were not there.
WEP_PolAm	NRG	NRG	null	11	1	EWP	Plasmatics	1	Chakram		The upscaled polarized plasmatic weapon for use at AntiMatter power levels in large bore weapons is known as the Chakram.
WEP_HvyPCan	NRG	NRG	null	5	1	EWP	Heavy Cannons	2	Heavy Plasma Cannon		"A triple-barrel rapid-fire version of the standard plasma energy cannon. The extra long barrel gives the weapon a much more cohesive plasma sphere, which equates to longer range and higher accuracy when mounted in large turrets."
WEP_HvyFCan	NRG	NRG	null	7	1	EWP	Heavy Cannons	2	Heavy Fusion Cannon		"A triple-barrel rapid-fire version of the standard fusion energy cannon. The extra long barrel gives the weapon a much more cohesive plasma sphere, which equates to longer range and higher accuracy when mounted in large turrets."
WEP_HvyACan	NRG	NRG	null	10	1	EWP	Heavy Cannons	2	Heavy Anti-Matter Cannon		"A triple-barrel rapid-fire version of the standard anti-matter energy cannon. The extra long barrel gives the weapon a much more cohesive plasma sphere, which equates to longer range and higher accuracy when mounted in large turrets."
WEP_PlsmCan	NRG	NRG	null	3	1	EWP	Cannons	3	Plasma Cannon		A small packet of high-energy plasma fired from a standard medium turret mount.
WEP_FusCan	NRG	NRG	null	6	1	EWP	Cannons	3	Fusion Cannon		"Improvement of the plasma cannon, allows the plasma to reach critical fusion temperatures before impact, causing more damage."
WEP_AmCan	NRG	NRG	null	9	1	EWP	Cannons	3	Anti-Matter Cannon		The most powerful of the standard cannon weapons produced firing a small ball of positronic plasma at targets for devastating effect.
WEP_PlsmProj	NRG	NRG	PRJCTR	6	1	EWP	Projectors	4	Plasma Projector		This weapon uses a massive array of plasma generating nodes to project a storm of high-energy blasts at a target. It is so large it can only be specially mounted on a cruiser hull.
WEP_FusProj	NRG	NRG	PRJCTR	8	1	EWP	Projectors	4	Fusion Projector		This weapon uses a massive array of Fusion generating nodes to project a storm of high energy blasts at a target. It is so large it can only be specially mounted on a cruiser hull.
SLD_Proj	SLD	null	null	9	1	EWP	Projectors	4	Shield Projector		"This technology combines advanced shield technologies and combines them with energy projector tech to create a large turret device that can focus energy in a completely impenetrable small disk at some distance from the ship. While relatively tiny in its coverage area, the shield disk created can block any incoming weapon fire."
WEP_AmProj	NRG	NRG	PRJCTR	11	1	EWP	Projectors	4	Anti-Matter Projector		This weapon uses a massive array of anti-matter generating nodes to project a storm of devastating high energy blasts at a target. It is so large it can only be specially mounted on a cruiser hull.
WEP_MesProj	NRG	NRG	PRJCTR	13	1	EWP	Projectors	4	Meson Projector		"This advanced projector technology focuses a wide beam that disrupts all pi mesons in the target area and if the disruption is allowed to complete its cycle it results in a massive disintegration of matter at the target point with the expected devastating energy release associated with such an event. If a Meson Projector stays focused on a target for the full period of time it will cause massive damage to the target, but should the beam lose its target point or be stopped before the projection time is complete, no damage will be done to the target."
WEP_LtEmitr	NRG	NRG	null	3	1	EWP	Emitters	5	Light Emitter		"A high energy discharge weapon commonly known as a lightning gun.  It damages target ships by inducing an arc of plasma. Damage is low but the plasma arc can sometimes jump to another close by ship, damaging it as well."
WEP_Emitr	NRG	NRG	null	4	1	EWP	Emitters	5	Emitter		"A high energy medium discharge weapon commonly known as a lightning gun.  It damages target ships by inducing an arc of plasma. Damage is low but the plasma arc can often jump to multiple nearby ships, damaging them as well."
WEP_HvyEmitr	NRG	NRG	null	8	1	EWP	Emitters	5	Heavy Emitter		The strongest version of the emitter.  This technology is pushed to its furthest point to become the ultimate weapon in mass discharging. Damage is moderate and the plasma arc can often jump to a large number nearby ships
SLD_Focus	SLD	null	null	10	1	EWP	Emitters	5	Shield Focusing		"This tech combines the shield projector with the Liirian flicker warp technology to literally project a single shield over multiple targets millions of times per second, making it appear as if each ship had its own complete shield. "
WEP_PrtBm	NRG	NRG	SPINAL	3	1	EWP	Particle Beam	6	Particle Beam		A beam of charged particles that deliver intense heat and EM damage. Designed for Large turrets or Destroyers built around the Spinal Mount Mission section.
WEP_NeutBm	NRG	NRG	null	7	1	EWP	Particle Beam	6	Neutron Beam		A large turret or spinal mount beam weapon that fires concentrated neutrons to deliver intense heat and kinetic damage to the target.
WEP_PosiBm	NRG	NRG	null	9	1	EWP	Particle Beam	6	Positron Beam		A beam of anti-matter particles that does intense explosive damage when it contacts solid positive matter. It causes massive environmental damage against planets but is harmless against shields.
WEP_MesBm	NRG	NRG	null	12	1	EWP	Particle Beam	6	Meson Beam		A directed beam of sub-atomic particles that penetrates solid matter and shielding to detonate on command causing massive internal damage.
WEP_GravBm	NRG	NRG	null	13	1	EWP	Particle Beam	6	Graviton Beam		A directed beam of graviton particles that causes stress damage to the entire ship at once and also serves as a tractor beam to hold the target in place.
WEP_PulGrvBm	NRG	NRG	null	14	1	EWP	Particle Beam	6	Pulsed Graviton Beam		A refinement of the standard Graviton beam that adds an oscillating gravimetric pulse to the beam which induce brutal shockwaves into the target. Resonating waves can get so strong it can result in catastrophic structure failures in systems like Turret Connections.
WEP_RedLas	NRG	NRG	null	1	2	EWP	Lasers	7	Red Lasers		Initial combat laser technology. Very fast and accurate but low damage.
WEP_GrnLas	NRG	NRG	null	2	2	EWP	Lasers	7	Green Lasers		A more efficient laser weapon. Very fast and accurate with slightly faster recharge than the Red Laser.
WEP_GrnBmr	NRG	NRG	null	3	1	EWP	Beams	7	Green Beamers		A sustained low energy laser beam for small turret mounts. 
WEP_UvLas	NRG	NRG	null	3	3	EWP	Lasers	7	UltraViolet Lasers		Higher energy laser weapon. Very fast and accurate with longer range and slightly higher damage than previous lasers.
WEP_UvBmr	NRG	NRG	null	4	1	EWP	Beams	7	UV Beamers	TechTree/UV_beamer.tga	A sustained low energy laser beam for small turret mounts. 
WEP_XryLas	NRG	NRG	null	4	2	EWP	Lasers	7	X-Ray Lasers		"Very High-energy laser weapon. Very fast, accurate and delivers medium damage. It delivers higher damage at a longer range but has a slower recharge rate than previous lasers."
WEP_Phas	NRG	NRG	null	7	1	EWP	Lasers	7	Phasers		A highly efficient beam weapon using phased laser light and particle discharge to maximize damage and accuracy. Its optimized design allows it to be fitted in medium turrets.
WEP_PDPhas	NRG	NRG	PD	9	3	EWP	Lasers	7	Point Defense Phaser		"A low power, high rate of fire, version of the standard phaser designed to fit point-defence turret mounts and engage incoming tracking weapons with a high level of accuracy and good stopping power."
